Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1996,416,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2011,3281,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1981,7942,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1962,1364,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1980,12142,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1962,24154,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1966,1499,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2014,2720,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1988,29,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2010,4087,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1970,16283,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2011,337,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2010,333,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1985,465,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1993,26,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1977,12513,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1983,10370,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1968,16988,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1981,768,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1979,12911,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2007,205,239,57,1960,2016
