Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Cambodia,KHM,1984,43746,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Europe & Central Asia (excluding high income),ECA,2012,107213,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United States,USA,2001,32964,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Albania,ALB,1988,3513,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cambodia,KHM,2005,22326,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sub-Saharan Africa,SSF,2006,3674643,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Nicaragua,NIC,1977,16909,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Arab Emirates,ARE,1966,876,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Turkey,TUR,1991,97058,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,St. Kitts and Nevis,KNA,1990,30,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Guyana,GUY,1993,1168,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Burkina Faso,BFA,1967,77699,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Saudi Arabia,SAU,2012,8960,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Kuwait,KWT,1981,1717,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Tanzania,TZA,1988,187944,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Heavily indebted poor countries (HIPC),HPC,2005,2587753,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1967,20154,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,South Sudan,SSD,2011,40729,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Kuwait,KWT,1996,570,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cambodia,KHM,1999,39247,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Zimbabwe,ZWE,1999,38077,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Papua New Guinea,PNG,2011,13365,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ecuador,ECU,1990,17179,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ghana,GHA,1976,77416,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Fragile and conflict affected situations,FCS,2002,1577819,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Central African Republic,CAF,1986,18990,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Bhutan,BTN,1979,3464,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Greece,GRC,1999,748,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Syrian Arab Republic,SYR,1979,24128,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Malawi,MWI,1971,80066,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Guatemala,GTM,2003,19024,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Montenegro,MNE,1994,145,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Jamaica,JAM,1971,3619,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Burkina Faso,BFA,1964,75969,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Yemen, Rep.",YEM,1995,75399,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Japan,JPN,1984,12013,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Zambia,ZMB,1962,30255,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cyprus,CYP,2007,53,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ukraine,UKR,1980,20234,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Arab Emirates,ARE,1978,978,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Chile,CHL,1989,5899,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iraq,IRQ,2012,38911,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Jamaica,JAM,1967,4413,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Croatia,HRV,1989,787,239,57,1960,2016
